movie_id,title,movie_encoded
1,Toy Story (1995),0
2,GoldenEye (1995),1
3,Four Rooms (1995),2
4,Get Shorty (1995),3
5,Copycat (1995),4
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),5
7,Twelve Monkeys (1995),6
8,Babe (1995),7
9,Dead Man Walking (1995),8
10,Richard III (1995),9
11,Seven (Se7en) (1995),10
12,"Usual Suspects, The (1995)",11
13,Mighty Aphrodite (1995),12
14,"Postino, Il (1994)",13
15,Mr. Holland's Opus (1995),14
16,French Twist (Gazon maudit) (1995),15
17,From Dusk Till Dawn (1996),16
18,"White Balloon, The (1995)",17
19,Antonia's Line (1995),18
20,Angels and Insects (1995),19
21,Muppet Treasure Island (1996),20
22,Braveheart (1995),21
23,Taxi Driver (1976),22
24,Rumble in the Bronx (1995),23
25,"Birdcage, The (1996)",24
26,"Brothers McMullen, The (1995)",25
27,Bad Boys (1995),26
28,Apollo 13 (1995),27
29,Batman Forever (1995),28
30,Belle de jour (1967),29
31,Crimson Tide (1995),30
32,Crumb (1994),31
33,Desperado (1995),32
34,"Doom Generation, The (1995)",33
35,Free Willy 2: The Adventure Home (1995),34
36,Mad Love (1995),35
37,Nadja (1994),36
38,"Net, The (1995)",37
39,Strange Days (1995),38
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",39
41,Billy Madison (1995),40
42,Clerks (1994),41
43,Disclosure (1994),42
44,Dolores Claiborne (1994),43
45,Eat Drink Man Woman (1994),44
46,Exotica (1994),45
47,Ed Wood (1994),46
48,Hoop Dreams (1994),47
49,I.Q. (1994),48
50,Star Wars (1977),49
51,Legends of the Fall (1994),50
52,"Madness of King George, The (1994)",51
53,Natural Born Killers (1994),52
54,Outbreak (1995),53
55,"Professional, The (1994)",54
56,Pulp Fiction (1994),55
57,Priest (1994),56
58,Quiz Show (1994),57
59,Three Colors: Red (1994),58
60,Three Colors: Blue (1993),59
61,Three Colors: White (1994),60
62,Stargate (1994),61
63,"Santa Clause, The (1994)",62
64,"Shawshank Redemption, The (1994)",63
65,What's Eating Gilbert Grape (1993),64
66,While You Were Sleeping (1995),65
67,Ace Ventura: Pet Detective (1994),66
68,"Crow, The (1994)",67
69,Forrest Gump (1994),68
70,Four Weddings and a Funeral (1994),69
71,"Lion King, The (1994)",70
72,"Mask, The (1994)",71
73,Maverick (1994),72
74,Faster Pussycat! Kill! Kill! (1965),73
75,Brother Minister: The Assassination of Malcolm X (1994),74
76,Carlito's Way (1993),75
77,"Firm, The (1993)",76
78,Free Willy (1993),77
79,"Fugitive, The (1993)",78
80,Hot Shots! Part Deux (1993),79
81,"Hudsucker Proxy, The (1994)",80
82,Jurassic Park (1993),81
83,Much Ado About Nothing (1993),82
84,Robert A. Heinlein's The Puppet Masters (1994),83
85,"Ref, The (1994)",84
86,"Remains of the Day, The (1993)",85
87,Searching for Bobby Fischer (1993),86
88,Sleepless in Seattle (1993),87
89,Blade Runner (1982),88
90,So I Married an Axe Murderer (1993),89
91,"Nightmare Before Christmas, The (1993)",90
92,True Romance (1993),91
93,Welcome to the Dollhouse (1995),92
94,Home Alone (1990),93
95,Aladdin (1992),94
96,Terminator 2: Judgment Day (1991),95
97,Dances with Wolves (1990),96
98,"Silence of the Lambs, The (1991)",97
99,Snow White and the Seven Dwarfs (1937),98
100,Fargo (1996),99
101,Heavy Metal (1981),100
102,"Aristocats, The (1970)",101
103,All Dogs Go to Heaven 2 (1996),102
104,Theodore Rex (1995),103
105,Sgt. Bilko (1996),104
106,Diabolique (1996),105
107,Moll Flanders (1996),106
108,Kids in the Hall: Brain Candy (1996),107
109,Mystery Science Theater 3000: The Movie (1996),108
110,Operation Dumbo Drop (1995),109
111,"Truth About Cats & Dogs, The (1996)",110
112,Flipper (1996),111
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",112
114,Wallace & Gromit: The Best of Aardman Animation (1996),113
115,"Haunted World of Edward D. Wood Jr., The (1995)",114
116,Cold Comfort Farm (1995),115
117,"Rock, The (1996)",116
118,Twister (1996),117
119,Maya Lin: A Strong Clear Vision (1994),118
120,Striptease (1996),119
121,Independence Day (ID4) (1996),120
122,"Cable Guy, The (1996)",121
123,"Frighteners, The (1996)",122
124,Lone Star (1996),123
125,Phenomenon (1996),124
126,"Spitfire Grill, The (1996)",125
127,"Godfather, The (1972)",126
128,Supercop (1992),127
129,Bound (1996),128
130,Kansas City (1996),129
131,Breakfast at Tiffany's (1961),130
132,"Wizard of Oz, The (1939)",131
133,Gone with the Wind (1939),132
134,Citizen Kane (1941),133
135,2001: A Space Odyssey (1968),134
136,Mr. Smith Goes to Washington (1939),135
137,Big Night (1996),136
138,D3: The Mighty Ducks (1996),137
139,"Love Bug, The (1969)",138
140,Homeward Bound: The Incredible Journey (1993),139
141,"20,000 Leagues Under the Sea (1954)",140
142,Bedknobs and Broomsticks (1971),141
143,"Sound of Music, The (1965)",142
144,Die Hard (1988),143
145,"Lawnmower Man, The (1992)",144
146,Unhook the Stars (1996),145
147,"Long Kiss Goodnight, The (1996)",146
148,"Ghost and the Darkness, The (1996)",147
149,Jude (1996),148
150,Swingers (1996),149
151,Willy Wonka and the Chocolate Factory (1971),150
152,Sleeper (1973),151
153,"Fish Called Wanda, A (1988)",152
154,Monty Python's Life of Brian (1979),153
155,Dirty Dancing (1987),154
156,Reservoir Dogs (1992),155
157,Platoon (1986),156
158,Weekend at Bernie's (1989),157
159,Basic Instinct (1992),158
160,Glengarry Glen Ross (1992),159
161,Top Gun (1986),160
162,On Golden Pond (1981),161
163,"Return of the Pink Panther, The (1974)",162
164,"Abyss, The (1989)",163
165,Jean de Florette (1986),164
166,Manon of the Spring (Manon des sources) (1986),165
167,Private Benjamin (1980),166
168,Monty Python and the Holy Grail (1974),167
169,"Wrong Trousers, The (1993)",168
170,Cinema Paradiso (1988),169
171,Delicatessen (1991),170
172,"Empire Strikes Back, The (1980)",171
173,"Princess Bride, The (1987)",172
174,Raiders of the Lost Ark (1981),173
175,Brazil (1985),174
176,Aliens (1986),175
177,"Good, The Bad and The Ugly, The (1966)",176
178,12 Angry Men (1957),177
179,"Clockwork Orange, A (1971)",178
180,Apocalypse Now (1979),179
181,Return of the Jedi (1983),180
182,GoodFellas (1990),181
183,Alien (1979),182
184,Army of Darkness (1993),183
185,Psycho (1960),184
186,"Blues Brothers, The (1980)",185
187,"Godfather: Part II, The (1974)",186
188,Full Metal Jacket (1987),187
189,"Grand Day Out, A (1992)",188
190,Henry V (1989),189
191,Amadeus (1984),190
192,Raging Bull (1980),191
193,"Right Stuff, The (1983)",192
194,"Sting, The (1973)",193
195,"Terminator, The (1984)",194
196,Dead Poets Society (1989),195
197,"Graduate, The (1967)",196
198,Nikita (La Femme Nikita) (1990),197
199,"Bridge on the River Kwai, The (1957)",198
200,"Shining, The (1980)",199
201,Evil Dead II (1987),200
202,Groundhog Day (1993),201
203,Unforgiven (1992),202
204,Back to the Future (1985),203
205,Patton (1970),204
206,Akira (1988),205
207,Cyrano de Bergerac (1990),206
208,Young Frankenstein (1974),207
209,This Is Spinal Tap (1984),208
210,Indiana Jones and the Last Crusade (1989),209
211,M*A*S*H (1970),210
212,"Unbearable Lightness of Being, The (1988)",211
213,"Room with a View, A (1986)",212
214,Pink Floyd - The Wall (1982),213
215,Field of Dreams (1989),214
216,When Harry Met Sally... (1989),215
217,Bram Stoker's Dracula (1992),216
218,Cape Fear (1991),217
219,"Nightmare on Elm Street, A (1984)",218
220,"Mirror Has Two Faces, The (1996)",219
221,Breaking the Waves (1996),220
222,Star Trek: First Contact (1996),221
223,Sling Blade (1996),222
224,Ridicule (1996),223
225,101 Dalmatians (1996),224
226,Die Hard 2 (1990),225
227,Star Trek VI: The Undiscovered Country (1991),226
228,Star Trek: The Wrath of Khan (1982),227
229,Star Trek III: The Search for Spock (1984),228
230,Star Trek IV: The Voyage Home (1986),229
231,Batman Returns (1992),230
232,Young Guns (1988),231
233,Under Siege (1992),232
234,Jaws (1975),233
235,Mars Attacks! (1996),234
236,Citizen Ruth (1996),235
237,Jerry Maguire (1996),236
238,Raising Arizona (1987),237
239,Sneakers (1992),238
240,Beavis and Butt-head Do America (1996),239
241,"Last of the Mohicans, The (1992)",240
242,Kolya (1996),241
243,Jungle2Jungle (1997),242
244,Smilla's Sense of Snow (1997),243
245,"Devil's Own, The (1997)",244
246,Chasing Amy (1997),245
247,Turbo: A Power Rangers Movie (1997),246
248,Grosse Pointe Blank (1997),247
249,Austin Powers: International Man of Mystery (1997),248
250,"Fifth Element, The (1997)",249
251,Shall We Dance? (1996),250
252,"Lost World: Jurassic Park, The (1997)",251
253,"Pillow Book, The (1995)",252
254,Batman & Robin (1997),253
255,My Best Friend's Wedding (1997),254
256,When the Cats Away (Chacun cherche son chat) (1996),255
257,Men in Black (1997),256
258,Contact (1997),257
259,George of the Jungle (1997),258
260,Event Horizon (1997),259
261,Air Bud (1997),260
262,In the Company of Men (1997),261
263,Steel (1997),262
264,Mimic (1997),263
265,"Hunt for Red October, The (1990)",264
266,Kull the Conqueror (1997),265
267,unknown,266
268,Chasing Amy (1997),267
269,"Full Monty, The (1997)",268
270,Gattaca (1997),269
271,Starship Troopers (1997),270
272,Good Will Hunting (1997),271
273,Heat (1995),272
274,Sabrina (1995),273
275,Sense and Sensibility (1995),274
276,Leaving Las Vegas (1995),275
277,Restoration (1995),276
278,Bed of Roses (1996),277
279,Once Upon a Time... When We Were Colored (1995),278
280,Up Close and Personal (1996),279
281,"River Wild, The (1994)",280
282,"Time to Kill, A (1996)",281
283,Emma (1996),282
284,Tin Cup (1996),283
285,Secrets & Lies (1996),284
286,"English Patient, The (1996)",285
287,Marvin's Room (1996),286
288,Scream (1996),287
289,Evita (1996),288
290,Fierce Creatures (1997),289
291,Absolute Power (1997),290
292,Rosewood (1997),291
293,Donnie Brasco (1997),292
294,Liar Liar (1997),293
295,Breakdown (1997),294
296,"Promesse, La (1996)",295
297,Ulee's Gold (1997),296
298,Face/Off (1997),297
299,Hoodlum (1997),298
300,Air Force One (1997),299
301,In & Out (1997),300
302,L.A. Confidential (1997),301
303,Ulee's Gold (1997),302
304,Fly Away Home (1996),303
305,"Ice Storm, The (1997)",304
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",305
307,"Devil's Advocate, The (1997)",306
308,FairyTale: A True Story (1997),307
309,Deceiver (1997),308
310,"Rainmaker, The (1997)",309
311,"Wings of the Dove, The (1997)",310
312,Midnight in the Garden of Good and Evil (1997),311
313,Titanic (1997),312
314,3 Ninjas: High Noon At Mega Mountain (1998),313
315,Apt Pupil (1998),314
316,As Good As It Gets (1997),315
317,In the Name of the Father (1993),316
318,Schindler's List (1993),317
319,Everyone Says I Love You (1996),318
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),319
321,Mother (1996),320
322,Murder at 1600 (1997),321
323,Dante's Peak (1997),322
324,Lost Highway (1997),323
325,Crash (1996),324
326,G.I. Jane (1997),325
327,Cop Land (1997),326
328,Conspiracy Theory (1997),327
329,Desperate Measures (1998),328
330,187 (1997),329
331,"Edge, The (1997)",330
332,Kiss the Girls (1997),331
333,"Game, The (1997)",332
334,U Turn (1997),333
335,How to Be a Player (1997),334
336,Playing God (1997),335
337,"House of Yes, The (1997)",336
338,Bean (1997),337
339,Mad City (1997),338
340,Boogie Nights (1997),339
341,Critical Care (1997),340
342,"Man Who Knew Too Little, The (1997)",341
343,Alien: Resurrection (1997),342
344,"Apostle, The (1997)",343
345,Deconstructing Harry (1997),344
346,Jackie Brown (1997),345
347,Wag the Dog (1997),346
348,Desperate Measures (1998),347
349,Hard Rain (1998),348
350,Fallen (1998),349
351,"Prophecy II, The (1998)",350
352,Spice World (1997),351
353,Deep Rising (1998),352
354,"Wedding Singer, The (1998)",353
355,Sphere (1998),354
356,"Client, The (1994)",355
357,One Flew Over the Cuckoo's Nest (1975),356
358,Spawn (1997),357
359,"Assignment, The (1997)",358
360,Wonderland (1997),359
361,Incognito (1997),360
362,Blues Brothers 2000 (1998),361
363,Sudden Death (1995),362
364,Ace Ventura: When Nature Calls (1995),363
365,Powder (1995),364
366,Dangerous Minds (1995),365
367,Clueless (1995),366
368,Bio-Dome (1996),367
369,Black Sheep (1996),368
370,Mary Reilly (1996),369
371,"Bridges of Madison County, The (1995)",370
372,Jeffrey (1995),371
373,Judge Dredd (1995),372
374,Mighty Morphin Power Rangers: The Movie (1995),373
375,Showgirls (1995),374
376,Houseguest (1994),375
377,Heavyweights (1994),376
378,Miracle on 34th Street (1994),377
379,Tales From the Crypt Presents: Demon Knight (1995),378
380,Star Trek: Generations (1994),379
381,Muriel's Wedding (1994),380
382,"Adventures of Priscilla, Queen of the Desert, The (1994)",381
383,"Flintstones, The (1994)",382
384,Naked Gun 33 1/3: The Final Insult (1994),383
385,True Lies (1994),384
386,Addams Family Values (1993),385
387,"Age of Innocence, The (1993)",386
388,Beverly Hills Cop III (1994),387
389,Black Beauty (1994),388
390,Fear of a Black Hat (1993),389
391,Last Action Hero (1993),390
392,"Man Without a Face, The (1993)",391
393,Mrs. Doubtfire (1993),392
394,Radioland Murders (1994),393
395,Robin Hood: Men in Tights (1993),394
396,Serial Mom (1994),395
397,Striking Distance (1993),396
398,Super Mario Bros. (1993),397
399,"Three Musketeers, The (1993)",398
400,"Little Rascals, The (1994)",399
401,"Brady Bunch Movie, The (1995)",400
402,Ghost (1990),401
403,Batman (1989),402
404,Pinocchio (1940),403
405,Mission: Impossible (1996),404
406,Thinner (1996),405
407,Spy Hard (1996),406
408,"Close Shave, A (1995)",407
409,Jack (1996),408
410,Kingpin (1996),409
411,"Nutty Professor, The (1996)",410
412,"Very Brady Sequel, A (1996)",411
413,Tales from the Crypt Presents: Bordello of Blood (1996),412
414,My Favorite Year (1982),413
415,"Apple Dumpling Gang, The (1975)",414
416,Old Yeller (1957),415
417,"Parent Trap, The (1961)",416
418,Cinderella (1950),417
419,Mary Poppins (1964),418
420,Alice in Wonderland (1951),419
421,William Shakespeare's Romeo and Juliet (1996),420
422,Aladdin and the King of Thieves (1996),421
423,E.T. the Extra-Terrestrial (1982),422
424,Children of the Corn: The Gathering (1996),423
425,Bob Roberts (1992),424
426,"Transformers: The Movie, The (1986)",425
427,To Kill a Mockingbird (1962),426
428,Harold and Maude (1971),427
429,"Day the Earth Stood Still, The (1951)",428
430,Duck Soup (1933),429
431,Highlander (1986),430
432,Fantasia (1940),431
433,Heathers (1989),432
434,Forbidden Planet (1956),433
435,Butch Cassidy and the Sundance Kid (1969),434
436,"American Werewolf in London, An (1981)",435
437,Amityville 1992: It's About Time (1992),436
438,Amityville 3-D (1983),437
439,Amityville: A New Generation (1993),438
440,Amityville II: The Possession (1982),439
441,"Amityville Horror, The (1979)",440
442,"Amityville Curse, The (1990)",441
443,"Birds, The (1963)",442
444,"Blob, The (1958)",443
445,"Body Snatcher, The (1945)",444
446,Burnt Offerings (1976),445
447,Carrie (1976),446
448,"Omen, The (1976)",447
449,Star Trek: The Motion Picture (1979),448
450,Star Trek V: The Final Frontier (1989),449
451,Grease (1978),450
452,Jaws 2 (1978),451
453,Jaws 3-D (1983),452
454,Bastard Out of Carolina (1996),453
455,Jackie Chan's First Strike (1996),454
456,Beverly Hills Ninja (1997),455
457,Free Willy 3: The Rescue (1997),456
458,Nixon (1995),457
459,"Cry, the Beloved Country (1995)",458
460,"Crossing Guard, The (1995)",459
461,Smoke (1995),460
462,Like Water For Chocolate (Como agua para chocolate) (1992),461
463,"Secret of Roan Inish, The (1994)",462
464,Vanya on 42nd Street (1994),463
465,"Jungle Book, The (1994)",464
466,Red Rock West (1992),465
467,"Bronx Tale, A (1993)",466
468,Rudy (1993),467
469,Short Cuts (1993),468
470,Tombstone (1993),469
471,Courage Under Fire (1996),470
472,Dragonheart (1996),471
473,James and the Giant Peach (1996),472
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),473
475,Trainspotting (1996),474
476,"First Wives Club, The (1996)",475
477,Matilda (1996),476
478,"Philadelphia Story, The (1940)",477
479,Vertigo (1958),478
480,North by Northwest (1959),479
481,"Apartment, The (1960)",480
482,Some Like It Hot (1959),481
483,Casablanca (1942),482
484,"Maltese Falcon, The (1941)",483
485,My Fair Lady (1964),484
486,Sabrina (1954),485
487,Roman Holiday (1953),486
488,Sunset Blvd. (1950),487
489,Notorious (1946),488
490,To Catch a Thief (1955),489
491,"Adventures of Robin Hood, The (1938)",490
492,East of Eden (1955),491
493,"Thin Man, The (1934)",492
494,His Girl Friday (1940),493
495,Around the World in 80 Days (1956),494
496,It's a Wonderful Life (1946),495
497,Bringing Up Baby (1938),496
498,"African Queen, The (1951)",497
499,Cat on a Hot Tin Roof (1958),498
500,Fly Away Home (1996),499
501,Dumbo (1941),500
502,Bananas (1971),501
503,"Candidate, The (1972)",502
504,Bonnie and Clyde (1967),503
505,Dial M for Murder (1954),504
506,Rebel Without a Cause (1955),505
507,"Streetcar Named Desire, A (1951)",506
508,"People vs. Larry Flynt, The (1996)",507
509,My Left Foot (1989),508
510,"Magnificent Seven, The (1954)",509
511,Lawrence of Arabia (1962),510
512,Wings of Desire (1987),511
513,"Third Man, The (1949)",512
514,Annie Hall (1977),513
515,"Boot, Das (1981)",514
516,Local Hero (1983),515
517,Manhattan (1979),516
518,Miller's Crossing (1990),517
519,"Treasure of the Sierra Madre, The (1948)",518
520,"Great Escape, The (1963)",519
521,"Deer Hunter, The (1978)",520
522,Down by Law (1986),521
523,Cool Hand Luke (1967),522
524,"Great Dictator, The (1940)",523
525,"Big Sleep, The (1946)",524
526,Ben-Hur (1959),525
527,Gandhi (1982),526
528,"Killing Fields, The (1984)",527
529,My Life as a Dog (Mitt liv som hund) (1985),528
530,"Man Who Would Be King, The (1975)",529
531,Shine (1996),530
532,Kama Sutra: A Tale of Love (1996),531
533,"Daytrippers, The (1996)",532
534,Traveller (1997),533
535,Addicted to Love (1997),534
536,Ponette (1996),535
537,My Own Private Idaho (1991),536
538,Anastasia (1997),537
539,Mouse Hunt (1997),538
540,Money Train (1995),539
541,Mortal Kombat (1995),540
542,Pocahontas (1995),541
543,"Misérables, Les (1995)",542
544,Things to Do in Denver when You're Dead (1995),543
545,Vampire in Brooklyn (1995),544
546,Broken Arrow (1996),545
547,"Young Poisoner's Handbook, The (1995)",546
548,"NeverEnding Story III, The (1994)",547
549,Rob Roy (1995),548
550,Die Hard: With a Vengeance (1995),549
551,Lord of Illusions (1995),550
552,Species (1995),551
553,"Walk in the Clouds, A (1995)",552
554,Waterworld (1995),553
555,White Man's Burden (1995),554
556,Wild Bill (1995),555
557,Farinelli: il castrato (1994),556
558,Heavenly Creatures (1994),557
559,Interview with the Vampire (1994),558
560,"Kid in King Arthur's Court, A (1995)",559
561,Mary Shelley's Frankenstein (1994),560
562,"Quick and the Dead, The (1995)",561
563,Stephen King's The Langoliers (1995),562
564,Tales from the Hood (1995),563
565,Village of the Damned (1995),564
566,Clear and Present Danger (1994),565
567,Wes Craven's New Nightmare (1994),566
568,Speed (1994),567
569,Wolf (1994),568
570,Wyatt Earp (1994),569
571,Another Stakeout (1993),570
572,Blown Away (1994),571
